Date,Open,High,Low,Close,Adj Close,Volume,RSI,SMA,13MA,30MA,EMA,DEMA,DX,ADX,VWAP,Upper_Band,Lower_Band,MACD,Signal_line,%K,%D
2021-08-25,1614.949951171875,1626.0,1590.0,1593.800048828125,1570.1072998046875,1795313,44.30457716473021,1488.9574987792969,1613.311532827524,1606.9899861653646,1609.1424543055277,1604.7458007002103,3.3522525168503012,19.204466205399594,1197.7344307742076,1655.5630927755365,1558.4168795551927,10.21239271189279,17.533685887528875,27.165385445123917,26.85915961265033
2021-08-26,1593.800048828125,1602.949951171875,1585.0,1595.75,1572.0281982421875,2051262,43.814725826207024,1490.7259985351564,1612.188457782452,1609.7283203125,1606.7074626136136,1601.1179346431516,5.641727192631983,18.23569913305905,1198.05695315362,1658.1787058151012,1561.2779348098989,8.345378394749332,15.696024388972967,28.871378742473404,31.233610937267514
2021-08-27,1604.0,1666.699951171875,1598.050048828125,1638.0999755859375,1613.74853515625,4903187,54.93507546689162,1492.6609985351563,1615.3153827373799,1612.8416544596355,1612.4151922449453,1612.5119026947477,20.286411269575268,18.382178571381637,1198.9027757324975,1661.7907088082993,1563.8926001109717,10.165859493361268,14.58999140985063,65.92296010235532,40.653241429984234
2021-08-30,1646.699951171875,1684.949951171875,1645.0999755859375,1660.0999755859375,1635.421630859375,3345934,60.79243266042857,1495.2239978027344,1620.826923076923,1614.533321126302,1621.0851528523983,1628.2578837174256,25.893765033914974,18.918720461562593,1199.5165370683278,1666.8822315323748,1562.1844107202294,13.231297852748412,14.318252698430188,79.66449630492417,58.152945049917655
2021-08-31,1660.050048828125,1676.0,1645.0,1672.199951171875,1647.3416748046875,3264644,64.27478607314866,1497.935997314453,1627.6653771033655,1616.3149861653646,1630.3787525468485,1643.8512048227847,25.84154160334964,19.41320768597595,1200.115134691596,1673.8689013273927,1558.7610710033366,16.44745076963386,14.744092312670924,89.56628060999219,78.38457900575725
2021-09-01,1672.25,1718.0,1672.199951171875,1686.4000244140625,1661.3306884765625,3530101,67.04695390495797,1500.758497314453,1632.5076904296875,1618.8749877929688,1640.5644383408874,1659.921096761776,37.55985466473719,20.709396755887468,1200.799326621704,1683.235868039883,1554.5141075460547,19.91256273500744,15.777786397138229,78.94738126200068,82.72605272563904
2021-09-02,1687.9000244140625,1710.0,1682.0,1686.199951171875,1661.133544921875,2400278,61.95465320889712,1503.4289965820312,1633.8769155649038,1622.0699869791667,1648.8618043101578,1671.4878242657426,37.55985466473719,21.913000892233878,1201.2639582893898,1692.2122765408933,1551.9276974174402,22.38450999642191,17.099131116994965,78.81408794106142,82.44258327101811
2021-09-03,1697.0,1704.300048828125,1672.0999755859375,1691.5,1666.3548583984375,2336258,55.18401066044956,1506.302996826172,1636.5999943659856,1623.7149861653645,1656.6142035264927,1681.4692737580635,31.863646821167592,22.623761315729144,1201.7122018591815,1699.5673322887903,1547.8626400419387,24.488922600669184,18.57708941372981,82.34510039288593,80.03552319864936
2021-09-06,1700.0,1716.0,1690.199951171875,1694.199951171875,1669.0145263671875,1850835,58.9352261922198,1509.79349609375,1640.8653752253606,1626.4633178710938,1663.447975825653,1689.375210623524,35.27479078789287,23.527406278026554,1202.0746030329583,1706.8384881081163,1546.0881476340712,26.073983593768617,20.076468249737573,84.14386895452982,81.76768576282574
2021-09-07,1694.199951171875,1705.0,1679.449951171875,1681.699951171875,1656.700439453125,1734879,60.30717900834409,1512.87349609375,1644.623065655048,1629.266650390625,1666.7665167976934,1690.6948787912575,28.889960574237683,23.910445870613067,1202.4060456804316,1710.32548179253,1548.2078189887202,26.02155008586874,21.26548461696381,75.81608612098545,80.76835182280041
2021-09-08,1682.0,1694.699951171875,1658.0,1666.550048828125,1641.7757568359375,1644392,57.74358670652061,1515.7924963378907,1650.234609750601,1631.2099853515624,1666.7271589850445,1686.2727078603389,17.02134422543173,23.418367181671545,1202.7096989130864,1709.582807568146,1552.8371631349787,24.475388602561452,21.90746541408334,65.72287838753304,75.22761115434946
2021-09-09,1655.199951171875,1680.5999755859375,1655.199951171875,1670.050048828125,1645.2236328125,1225239,71.02008220402735,1518.9014965820313,1657.1038442758413,1633.7383219401042,1667.3313207746955,1683.8174476823783,15.525851995066828,22.854616096914068,1202.9335507220785,1707.805649634578,1559.6709942456305,23.264288994812432,22.17883013022916,68.05465758092546,69.86454069648134
2021-09-13,1662.050048828125,1675.6500244140625,1660.5,1671.699951171875,1646.84912109375,1578773,76.64816752482064,1522.5139965820313,1662.173067533053,1636.2616536458333,1668.1256172105464,1682.2641454007103,15.52585199506683,22.331132946782123,1203.2220888911877,1710.2680927726922,1562.2552145189745,22.181917819641285,22.179447668111585,65.75438938637976,66.5106417849461
