Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,ADX
2021-09-13,149.60000610351562,155.89999389648438,149.3000030517578,154.60000610351562,120.27418518066406,35672746,0.0,0,21.20870850357185
2021-09-14,155.35000610351562,155.5,153.35000610351562,154.6999969482422,120.35198974609376,8804432,0.0,0,22.5436870109946
2021-09-15,155.5,162.25,154.25,161.0500030517578,125.2920913696289,24591822,0.0,0,24.802639588571868
2021-09-16,162.14999389648438,163.0,157.5500030517578,162.3000030517578,126.26456451416016,18440504,0.0,0,26.990678904064254
2021-09-17,162.6999969482422,163.3000030517578,155.39999389648438,156.6999969482422,121.9079360961914,17317065,0.0,0,28.149917946127704
2021-09-20,155.89999389648438,157.5500030517578,152.8000030517578,154.1999969482422,119.9630126953125,12541523,0.0,0,28.27657122024166
2021-09-21,155.6999969482422,158.0,153.4499969482422,156.39999389648438,121.6745376586914,13645046,0.0,0,28.479324371870355
2021-09-22,157.25,162.5,155.0,162.10000610351562,126.10897827148438,18861877,0.0,0,29.429407619931172
2021-09-23,163.75,170.0,163.10000610351562,167.35000610351562,130.1933135986328,31399318,0.0,0,31.215963920549004
2021-09-24,168.10000610351562,169.4499969482422,162.89999389648438,166.10000610351562,129.2208709716797,17259638,0.0,0,32.80643903690869
2021-09-27,167.0,169.14999389648438,165.35000610351562,167.0500030517578,129.95993041992188,9099672,0.0,0,34.283308787814114
2021-09-28,168.5,176.3000030517578,168.14999389648438,174.5500030517578,135.79470825195312,41551332,0.0,0,36.334711342816355
2021-09-29,174.5,197.0,172.8000030517578,185.6999969482422,144.46905517578125,100988643,0.0,0,39.26898758879905
2021-09-30,187.6000061035156,191.5,184.1000061035156,185.1000061035156,144.00228881835938,48957916,0.0,0,41.9936726743544
2021-10-01,185.3999938964844,189.8999938964844,182.3999938964844,188.6999969482422,146.80296325683594,25492957,0.0,0,44.07038387114994
2021-10-04,192.5,193.3500061035156,188.3000030517578,189.9499969482422,147.7754364013672,23341448,0.0,0,46.1486204758774
2021-10-05,191.0,198.8999938964844,190.3999938964844,197.9499969482422,153.9991912841797,42359592,0.0,0,48.29233498735477
2021-10-06,200.0,203.8000030517578,191.6999969482422,192.8500061035156,150.03155517578125,41926821,0.0,0,50.44628910723971
2021-10-07,194.75,194.9499969482422,189.25,190.6999969482422,148.35891723632812,16517664,0.0,0,51.82028593143723
2021-10-08,191.1000061035156,191.6999969482422,184.1000061035156,188.4499969482422,146.60848999023438,28978175,0.0,0,51.88329109723134
2021-10-11,192.0,199.6999969482422,191.6499938964844,196.8500061035156,153.14344787597656,34952223,0.0,0,52.42625434694162
2021-10-12,199.1999969482422,201.0,191.25,193.3000030517578,150.3816375732422,25216411,0.0,0,53.001279688692115
2021-10-13,194.0,194.5500030517578,189.3500061035156,190.0500030517578,147.85324096679688,17378156,0.0,0,53.109950006174515
2021-10-14,190.0,191.8000030517578,182.3000030517578,183.8000030517578,142.99093627929688,29542941,0.0,0,51.78577582428077
2021-10-18,184.8000030517578,187.75,183.3999938964844,185.3000030517578,144.1578826904297,15468914,0.0,0,50.55618551252229
2021-10-19,187.3000030517578,188.9499969482422,183.6000061035156,184.5,143.53550720214844,17403803,0.0,0,49.5305797817922
2021-10-20,182.6999969482422,183.3999938964844,177.39999389648438,180.5,140.42361450195312,15921230,0.0,0,47.396306614362594
2021-10-21,182.0,183.0,178.89999389648438,182.3999938964844,141.9017791748047,15586097,0.0,0,45.41448153032082
2021-10-22,183.3999938964844,184.3000030517578,175.3000030517578,175.89999389648438,136.84495544433594,13603152,0.0,0,42.92787500755715
2021-10-25,176.25,177.25,173.0,174.10000610351562,135.44461059570312,11744666,0.0,0,40.22814061454424
2021-10-26,173.0,176.0,171.75,175.0500030517578,136.18370056152344,11602891,0.0,0,37.50997633115453
2021-10-27,175.6999969482422,176.64999389648438,172.8000030517578,173.60000610351562,135.05563354492188,9535881,0.0,0,35.094347020546266
2021-10-28,173.0,173.0,165.9499969482422,166.5500030517578,129.57093811035156,24509136,0.0,0,33.43257878909647
2021-10-29,165.0,169.5,163.3000030517578,164.4499969482422,127.9372100830078,14826816,0.0,0,32.25919398902001
2021-11-01,165.0,171.9499969482422,163.8000030517578,170.75,132.83839416503906,13585170,0.0,0,30.708143093635954
2021-11-02,171.4499969482422,173.75,168.35000610351562,169.1999969482422,131.63255310058594,14278962,0.0,0,28.937355551474948
2021-11-03,168.1999969482422,171.10000610351562,167.35000610351562,169.75,132.0604248046875,8974463,0.0,0,27.45724332385569
2021-11-04,171.1999969482422,171.39999389648438,169.75,170.6999969482422,132.7995147705078,973260,0.0,0,26.022319067837106
